canonical_brand,aliases,domains,score_hint,risk_level,category,notes
sinopec,snp|china petroleum|sinopec corp,sinopec.com,85,medium,energy,Chinese state energy
conocophillips,cop|phillips 66|conoco,conocophillips.com|phillips66.com|conoco.com,85,medium,energy,ConocoPhillips and P66 are now separate companies
marathon,mpc|marathon petroleum|mro|marathon oil,marathonpetroleum.com|marathonoil.com,85,medium,energy,Two separate Marathon companies; medium complexity
valero,vlo|valero energy,valero.com,85,low,energy,Distinctive US refiner brand
phillips 66,psx|phillips66,phillips66.com,85,low,energy,Distinctive US downstream energy brand
enbridge,enb|enbridge inc,enbridge.com,85,low,energy,Distinctive Canadian pipeline brand
kinder morgan,kmi,kindermorgan.com,85,low,energy,Distinctive pipeline brand
duke energy,duk,duke-energy.com,85,medium,energy,Common English word; major US utility
nextera energy,nee|florida power & light|fpl,nexteraenergy.com|fpl.com,85,low,energy,Distinctive renewable energy brand
national grid,national grid plc,nationalgrid.com,70,high,energy,Common phrase; UK/US utility
iberdrola,iber,iberdrola.com,85,low,energy,Distinctive Spanish utility brand
enel,enel spa,enel.com,85,low,energy,Distinctive Italian utility brand
engie,engie sa|gdf suez,engie.com,85,low,energy,Distinctive French energy brand; rebranded from GDF Suez
edf,electricite de france|edf energy,edf.com|edfenergy.com,85,medium,energy,3-char acronym; French state utility
e.on,eon|e.on se,eon.com,85,medium,energy,German utility; E.ON vs EON spelling varies
rwe,rwe ag,rwe.com,85,medium,energy,3-char acronym; German utility
veolia,veolia environment|veolia water,veolia.com,85,low,energy,Distinctive French environmental services brand
waste management,wm|wm inc,wm.com,85,medium,energy,Common English phrase; US waste services
coca cola,ko|coke|coca-cola company,coca-cola.com|coke.com,85,medium,food,Coke is global brand; complex bottler/franchise network
pepsico,pep|pepsi|frito lay|quaker,pepsico.com|pepsi.com|fritolay.com|quaker.com,85,medium,food,Large beverage/food conglomerate
nestle,nsrgy|nestle sa,nestle.com,85,medium,food,Large food conglomerate; many sub-brands
unilever,ul|dove|knorr,unilever.com,85,medium,food,Large CPG conglomerate; many consumer sub-brands
procter & gamble,p&g|pg|pampers|tide|gillette,pg.com|pampers.com|tide.com,85,low,food,P&G is universally recognized; distinctive despite common words
mondelez,mdlz|nabisco|cadbury|oreo,mondelezinternational.com|nabisco.com,85,medium,food,Spun from Kraft 2012; Cadbury/Oreo are sub-brands
kraft heinz,khc|kraft|heinz,kraftheinzcompany.com|heinz.com,85,medium,food,Merged 2015; distinctive brands
general mills,gis|cheerios|pillsbury|betty crocker,generalmills.com,85,medium,food,Common phrase; large CPG brand
kellogg,kellanova|kellogg company,kellogg.com|kellanova.com,85,medium,food,Rebranded WK Kellogg/Kellanova 2023; complex split
mars,mars inc|m&ms|snickers|wrigley,mars.com,70,high,food,Common word; private company; many unrelated businesses with Mars name
danone,dan|danone sa|activia|evian,danone.com|activia.com|evian.com,85,medium,food,French food/beverage brand; complex portfolio
tyson foods,tsn|tyson|jimmy dean|hillshire farm,tysonfoodsitd.com|tysonfoods.com,85,medium,food,Large meat/protein brand; common surname
cargill,cargill inc,cargill.com,85,low,food,Distinctive private agri/food brand
adm,archer daniels midland|adm milling,adm.com,85,medium,food,3-char acronym; large agri-processing
bunge,bg|bunge limited,bunge.com,85,low,food,Distinctive agri/food brand
jbs,jbs sa|swift|pilgrim's pride,jbs.com.br|swiftbrands.com,85,medium,food,Brazilian meat giant; Swift and Pilgrim's sub-brands
hormel,hrl|hormel foods|spam|jennie-o,hormel.com,85,low,food,Distinctive US food brand
conagra,cag|conagra brands|birds eye|hunt's,conagrabrands.com,85,low,food,Distinctive US CPG brand
hershey,hsy|hershey company,thehersheycompany.com,85,low,food,Distinctive chocolate brand
lindt,lindt & sprungli|lindor,lindt.com|lindtusa.com,85,low,food,Distinctive Swiss chocolate brand
ferrero,ferrero rocher|nutella|tic tac,ferrero.com,85,low,food,Distinctive Italian confectionery brand
red bull,redbull,redbull.com,85,low,food,Distinctive energy drink brand
starbucks,sbux,starbucks.com,85,low,food,Distinctive coffee brand
mcdonald's,mcd|mcdonalds|golden arches,mcdonalds.com,70,high,food,Global franchise; individual operators vary; common brand name
burger king,bk|bkc|restaurant brands,burgerking.com|rbi.com,70,high,food,Franchise chain; BK ambiguous
kfc,yum brands|kentucky fried chicken,kfc.com|yum.com,70,high,food,Franchise chain under Yum! Brands
subway,subway restaurants,subway.com,70,high,food,Largest franchise globally; individual operator risk
domino's,dpz|dominos pizza,dominos.com,70,high,food,Franchise pizza chain
wendy's,wen|the wendy's company,wendys.com,70,high,food,Franchise burger chain
chipotle,cmg|chipotle mexican grill,chipotle.com,85,medium,food,Company-operated; lower franchise risk than peers
tim hortons,tims|restaurant brands,timhortons.com|rbi.com,70,high,food,Canadian franchise chain; RBI parent
popeyes,plki|restaurant brands|popeyes louisiana kitchen,popeyes.com|rbi.com,70,high,food,Franchise chain; RBI parent
dairy queen,dq|international dairy queen,dairyqueen.com,70,high,food,Franchise chain; Berkshire Hathaway owned
dunkin,dnkn|dunkin' donuts|inspire brands,dunkindonuts.com|dunkinbrands.com,70,high,food,Franchise chain under Inspire Brands
walmart,wmt|walmart inc|asda|flipkart,walmart.com|asda.com|flipkart.com,85,medium,retail,Large global retailer; Asda/Flipkart sub-brands
costco,cost|costco wholesale,costco.com,85,low,retail,Distinctive warehouse retailer brand
target,tgt,target.com,70,high,retail,Common English word; many unrelated businesses
kroger,kr|kroger company|fred meyer|smith's|king soopers,kroger.com|fredmeyer.com,85,medium,retail,Large US grocery; many regional banner brands
carrefour,carr|carrefour sa,carrefour.com,85,medium,retail,Large French retailer; many country sub-brands
tesco,tsco|tesco plc,tesco.com,85,medium,retail,Large UK retailer; common-word components
aldi,aldi nord|aldi sud,aldi.com|aldi.us,85,medium,retail,Private German discount; two separate legal entities
metro,metro inc|metro ag,metro.com,70,high,retail,Very common word; multiple unrelated companies globally
home depot,hd|the home depot,homedepot.com,85,medium,retail,Distinctive US home improvement brand
lowes,low|lowe's companies,lowes.com,85,medium,retail,Common surname; US home improvement brand
ikea,ingvar kamprad|inter ikea,ikea.com,85,low,retail,Distinctive Swedish furniture brand; acronym but globally unique
wayfair,wayfair inc,wayfair.com,85,low,retail,Distinctive online furniture brand
tjx,tj maxx|marshalls|homegoods|sierra,tjx.com|tjmaxx.com|marshalls.com,85,medium,retail,Large off-price retailer; multiple banner brands
nordstrom,jwn,nordstrom.com,85,low,retail,Distinctive US department store
gap,gps|gap inc|banana republic|old navy|athleta,gap.com|bananarepublic.com|oldnavy.com,85,medium,retail,Common English word; multi-banner retailer
zara,inditex,zara.com|inditex.com,85,medium,retail,Distinctive brand; Inditex is parent
inditex,itx|zara|pull&bear|massimo dutti|bershka,inditex.com|zara.com,85,medium,retail,Spanish fast-fashion conglomerate
h&m,hennes & mauritz|h&m group,hm.com,85,medium,retail,Distinctive Swedish fashion brand
uniqlo,fast retailing,uniqlo.com|fastretailing.com,85,low,retail,Distinctive Japanese fashion brand
nike,nke|nike inc|jordan brand|converse,nike.com|jordan.com|converse.com,85,low,retail,Distinctive footwear/apparel brand
adidas,adidas ag|reebok,adidas.com|reebok.com,85,low,retail,Distinctive German sports brand; Reebok divested
puma,puma ag|puma se,puma.com,85,low,retail,Distinctive sportswear brand
under armour,uaa|ua,underarmour.com,85,low,retail,Distinctive US sportswear brand
lululemon,lulu|lululemon athletica,lululemon.com,85,low,retail,Distinctive activewear brand
levi's,levi strauss|levi jeans,levistrauss.com|levi.com,85,low,retail,Distinctive denim brand; common given name
lvmh,louis vuitton moet hennessy|louis vuitton|dior|tag heuer|sephora,lvmh.com|louisvuitton.com|dior.com,85,medium,retail,French luxury conglomerate; many sub-brands
gucci,kering|gucci guccio,gucci.com|kering.com,85,low,retail,Distinctive luxury brand; Kering is parent
hermes,hermes international|birkin|kelly,hermes.com,85,low,retail,Distinctive French luxury brand; common name but brand is unique in context
chanel,chanel sa,chanel.com,85,low,retail,Distinctive French luxury brand; private
rolex,rolex sa|tudor,rolex.com|tudorwatch.com,85,low,retail,Distinctive Swiss luxury watch brand
toyota,tm|toyota motor|lexus,toyota.com|lexus.com,85,low,auto,Distinctive Japanese automaker; Lexus is luxury sub-brand
honda,hmc|honda motor|acura,honda.com|acura.com,85,low,auto,Distinctive Japanese automaker; Acura is luxury sub-brand
nissan,nsany|nissan motor|infiniti,nissan.com|infiniti.com,70,high,auto,Japanese automaker; Nissan is also a common Israeli proper noun
ford,ford motor|lincoln|ford credit,ford.com|lincoln.com,85,medium,auto,Common English surname; large auto brand
general motors,gm|gmc|chevrolet|buick|cadillac|baojun,gm.com|chevrolet.com|gmc.com|cadillac.com,85,medium,auto,Large auto conglomerate; many sub-brands
stellantis,stla|chrysler|fiat|jeep|dodge|ram|peugeot|citroen|opel,stellantis.com|jeep.com|fiat.com|dodge.com,85,medium,auto,Multi-brand auto conglomerate formed 2021
volkswagen,vow|vw|volkswagen ag|audi|porsche|seat|skoda,volkswagen.com|vw.com|audi.com|porsche.com,85,medium,auto,Large German auto group; many sub-brands
audi,audi ag,audi.com,85,medium,auto,Sub-brand of Volkswagen Group; distinctive
bmw,bayerische motoren werke|mini|rolls royce motorcar,bmw.com|mini.com,85,medium,auto,Distinctive German automaker; Mini/RRMC sub-brands
mercedes benz,mbg|daimler|mercedes|mbenz,mercedes-benz.com,85,medium,auto,Distinctive German luxury auto brand
hyundai,hymtf|hyundai motor|genesis,hyundai.com|genesis.com,85,medium,auto,Distinctive Korean automaker; Genesis luxury sub-brand
kia,kia motors|kia corporation,kia.com,85,medium,auto,Distinctive Korean automaker; 3-char brand
tesla,tsla,tesla.com,85,low,auto,Distinctive EV brand
volvo,ab volvo|volvo cars|volvo trucks,volvocars.com|volvotrucks.com|volvo.com,85,medium,auto,Distinctive Swedish brand; Volvo Cars and Volvo Trucks are separate companies
renault,rnlt|renault sa|dacia|nissan alliance,renault.com|dacia.com,85,medium,auto,French automaker; Nissan/Mitsubishi alliance
mazda,mzda|mazda motor,mazda.com,85,low,auto,Distinctive Japanese automaker
subaru,fuji heavy industries|subaru corp,subaru.com,85,low,auto,Distinctive Japanese automaker
bridgestone,bsto|bridgestone corporation,bridgestone.com,85,low,auto,Distinctive Japanese tire brand
michelin,compagnie generale des etablissements michelin,michelin.com,85,low,auto,Distinctive French tire brand
goodyear,gt|goodyear tire & rubber,goodyear.com,85,low,auto,Distinctive US tire brand; common English compound
continental,ctt|continental ag|contitech,continental.com|contitech.com,85,medium,auto,German auto parts; common English word
dhl,dhl express|deutsche post|dhl supply chain,dhl.com|deutschepost.com,85,medium,travel,3-char acronym; German logistics giant
fedex,fdx|federal express|tnt,fedex.com|tnt.com,85,low,travel,Distinctive US logistics brand; TNT acquired
ups,united parcel service|ups supply chain,ups.com,85,low,travel,3-char acronym; globally recognized logistics brand
maersk,apmm|a.p. moller maersk,maersk.com,85,low,travel,Distinctive Danish shipping brand
hapag lloyd,hlag|hapag-lloyd,hapag-lloyd.com,85,low,travel,Distinctive German container shipping brand
xpo,xpo logistics,xpo.com,85,low,travel,Distinctive logistics brand
ch robinson,chrw|c.h. robinson,chrobinson.com,85,low,travel,Distinctive US freight broker
db schenker,dbs|deutsche bahn schenker,dbschenker.com,85,medium,travel,DB prefix ambiguous; subsidiary of Deutsche Bahn
kuehne nagel,kn|kuehne+nagel,kuehne-nagel.com,85,low,travel,Distinctive Swiss logistics brand
dsv,dsv panalpina,dsv.com,85,low,travel,Distinctive Danish logistics brand
expeditors,expd|expeditors international,expeditors.com,85,low,travel,Distinctive logistics brand
ceva logistics,ceva|ceva group,cevalogistics.com,85,low,travel,Distinctive logistics brand
uber,uber technologies,uber.com,85,low,travel,Distinctive ride-share brand
lyft,lyft inc,lyft.com,85,low,travel,Distinctive US ride-share brand
at&t,att|american telephone & telegraph|directv|warner media,att.com|directv.com,70,high,telecom,AT&T is high due to complex brand/franchise structure and many operators
verizon,vz|verizon communications|fios,verizon.com,85,medium,telecom,Distinctive US telecom brand
t-mobile,tmus|t mobile|sprint|metro by t-mobile,t-mobile.com|sprint.com,85,medium,telecom,Sprint absorbed 2020; distinctive brand
vodafone,vod|vodafone group,vodafone.com,70,high,telecom,Many country JVs/operators; complex franchise-like structure
orange,orange sa,orange.com,70,high,telecom,Common English word; multiple unrelated businesses
telefonica,tef|movistar|o2|vivo,telefonica.com|movistar.com|o2.com,85,medium,telecom,Spanish telecom; O2 and Movistar sub-brands
bt,british telecom|bt group|ee|plusnet,bt.com|ee.co.uk|plusnet.com,85,medium,telecom,2-char abbreviation; UK telecom
deutsche telekom,dteg|telekom|t-systems|magenta,telekom.com|t-systems.com,85,medium,telecom,German telecom; T-Mobile is subsidiary
telenor,ten|telenor asa,telenor.com,85,low,telecom,Distinctive Norwegian telecom brand
bell,bce|bell canada|bell mobility|virgin plus,bell.ca|bce.ca,70,high,telecom,Common English word; Canadian telecom franchise
rogers,rci|rogers communications|fido,rogers.com|fido.ca,70,high,telecom,Common English surname; many unrelated businesses
telus,telus corporation|koodo,telus.com|koodo.com,70,high,telecom,Canadian telecom; telecom franchise risk
shaw,shaw communications,shaw.ca,70,high,telecom,Common English surname; Canadian telecom
comcast,cmcsa|xfinity|nbcuniversal,comcast.com|xfinity.com|nbcuniversal.com,85,medium,telecom,Large US cable/media; Xfinity is retail brand
disney,dis|the walt disney company|espn|hulu|abc|marvel,disney.com|espn.com|hulu.com|marvel.com,85,medium,media,Large media conglomerate; many sub-brands
netflix,nflx,netflix.com,85,low,media,Distinctive streaming brand
warner bros discovery,wbd|warner bros|discovery|hbo|cnn|turner,wbd.com|warnerbros.com|hbomax.com|discoveryplus.com,85,medium,media,Merged 2022; complex portfolio
spotify,spot,spotify.com,85,low,media,Distinctive music streaming brand
fox,foxa|fox corporation|fox news|fox sports,foxcorporation.com|foxnews.com,85,medium,media,Common English word; media brand
thomson reuters,tri|reuters|westlaw,thomsonreuters.com|reuters.com|westlaw.com,85,low,media,Distinctive business information brand
bloomberg,bloomberg lp|bloomberg media,bloomberg.com,85,low,media,Distinctive financial information brand
relx,ren|reed elsevier|lexisnexis|elsevier,relx.com|lexisnexis.com|elsevier.com,85,low,media,Distinctive UK information brand; LexisNexis sub-brand
springer nature,springer|nature publishing|macmillan,springernature.com|nature.com,85,low,media,Distinctive academic publisher
wolters kluwer,wkl|wolters kluwer nv,wolterskluwer.com,85,low,media,Distinctive Dutch information brand
pearson,pson|pearson plc|penguin|edexcel,pearson.com|edexcel.com,85,medium,media,Distinctive UK education brand; common surname
accenture,acn|accenture plc,accenture.com,85,low,consulting,Distinctive consulting brand; coined word
deloitte,dtte|deloitte touche|deloitte & touche,deloitte.com,85,medium,consulting,Distinctive but Big 4 have complex partnership structures
pwc,pricewaterhousecoopers|pwc llp|price waterhouse,pwc.com,85,medium,consulting,3-char acronym; Big 4 global partnership
ey,ernst & young|ey llp,ey.com,85,medium,consulting,2-char acronym; Big 4 global partnership
kpmg,klynveld peat marwick goerdeler|kpmg llp,kpmg.com,85,medium,consulting,4-char acronym; Big 4 global partnership
mckinsey,mck|mckinsey & company,mckinsey.com,85,low,consulting,Distinctive consulting brand; low ambiguity
bcg,boston consulting group|bcg platinion,bcg.com,85,low,consulting,3-char acronym but highly distinctive in context
bain,bain & company|bain capital,bain.com|baincapital.com,85,medium,consulting,Common English word; Bain & Co vs Bain Capital are separate
capgemini,cap|capgemini se,capgemini.com,85,low,consulting,Distinctive French IT/consulting brand
cognizant,ctsh|cognizant technology,cognizant.com,85,low,consulting,Distinctive US IT services brand
infosys,infy|infosys technologies|finacle,infosys.com,85,low,consulting,Distinctive Indian IT brand
tcs,tata consultancy services|tata consulting,tcs.com|tataconsultancy.com,85,low,consulting,TCS is universally recognized for Tata Consultancy Services
wipro,wit|wipro limited|wipro technologies,wipro.com,85,low,consulting,Distinctive Indian IT brand
hcltech,hcl|hcl technologies,hcltech.com,85,low,consulting,Distinctive Indian IT brand; HCL is known abbreviation
genpact,genpact limited,genpact.com,85,low,consulting,Distinctive BPO brand
ntt data,ntt data corporation|nippon telegraph,nttdata.com|ntt.com,85,medium,consulting,NTT is Japanese state telecom parent; NTT DATA is IT services
atos,atos se|bull|evidian,atos.net,85,low,consulting,Distinctive French IT brand
publicis,pub|publicis groupe|saatchi,publicis.com|saatchi.com,85,medium,consulting,French holding company; Saatchi & Saatchi sub-brand
wpp,wpp plc|grey|ogilvy|jwt,wpp.com|ogilvy.com,85,medium,consulting,3-char acronym; large advertising holding
omnicom,omc|omnicom group|bbdo|ddb|tbwa,omnicomgroup.com|bbdo.com,85,medium,consulting,Large US advertising holding company
dentsu,dentsu inc|dentsu group,dentsu.com,85,low,consulting,Distinctive Japanese advertising brand
ipg,interpublic group|mccann|foote cone & belding|fcb,interpublic.com|mccann.com,85,medium,consulting,3-char acronym; advertising holding company
saatchi & saatchi,saatchi|saatchi and saatchi,saatchi.com,85,low,consulting,Distinctive advertising brand; subsidiary of Publicis
securitas,securitas ab,securitas.com,85,low,facilities,Distinctive Swedish security services brand
g4s,group 4 securicor|allied universal,g4s.com,85,medium,facilities,4-char acronym; merged into Allied Universal in some regions
brinks,bcorp|brink's company,brinks.com,85,low,facilities,Distinctive US armored transport brand
johnson controls,jci|tyco,johnsoncontrols.com|tyco.com,85,medium,facilities,Common surname; Tyco absorbed
cbre,cb richard ellis|cbre group,cbre.com,85,low,facilities,Distinctive CRE services brand
jll,jones lang lasalle,jll.com,85,low,facilities,Distinctive CRE services brand
cushman wakefield,cwk|dtz,cushmanwakefield.com,85,low,facilities,Distinctive CRE services brand
sodexo,sodexo sa,sodexo.com,85,low,facilities,Distinctive French facilities brand
aramark,armk,aramark.com,85,low,facilities,Distinctive US facilities/food service brand
compass group,cpg|eurest|chartwells|scolarest,compass-group.com|eurest.com,85,medium,facilities,Common English words; large facilities conglomerate
iss,iss world services|integrated service solutions,issworld.com,85,medium,facilities,3-char acronym; Danish facilities brand
rentokil,rkil|rentokil initial|terminix,rentokil.com|terminix.com,85,low,facilities,Distinctive UK facilities brand; Terminix acquired
cintas,ctas|cintas corporation,cintas.com,85,low,facilities,Distinctive US uniform/facilities brand
ecolab,ecl|ecolab inc|nalco,ecolab.com|nalco.com,85,low,facilities,Distinctive cleaning/hygiene brand
marriott,mar|marriott international|sheraton|westin|ritz carlton|w hotels|courtyard|fairfield|ac hotels|renaissance,marriott.com|sheraton.com|westin.com|ritzcarlton.com,70,high,travel,Global hotel franchise; many independent franchisee operators
hilton,hlt|hilton worldwide|hampton inn|doubletree|embassy suites|waldorf astoria|curio|tapestry,hilton.com|hamptoninn.com|doubletree.com,70,high,travel,Hotel franchise; high risk of independent operators
hyatt,hyatt hotels|park hyatt|grand hyatt|andaz|alila,hyatt.com,85,medium,travel,Hotel brand; smaller franchise network than Marriott/Hilton
ihg,intercontinental hotels|holiday inn|crowne plaza|staybridge|candlewood|six senses|voco,ihg.com|holidayinn.com|crowneplaza.com,70,high,travel,IHG is massive franchise network globally; Holiday Inn especially
accor,aor|accor sa|sofitel|novotel|ibis|mercure|pullman|fairmont,accor.com|sofitel.com|novotel.com|ibis.com,85,medium,travel,French hotel group; large but more directly managed
wyndham,wyn|wyndham hotels|days inn|super 8|ramada|la quinta,wyndham.com|daysinn.com|super8.com|ramada.com,70,high,travel,Largest hotel franchise by count; extremely high independent operator risk
best western,bwi|best western international,bestwestern.com,70,high,travel,Independent hotel cooperative; each property is independently owned
four seasons,four seasons hotels,fourseasons.com,85,low,travel,Distinctive luxury hotel brand; managed not franchised
expedia,expe|expedia group|hotels.com|vrbo|hotwire|trivago,expedia.com|hotels.com|vrbo.com|hotwire.com,85,medium,travel,Distinctive OTA brand; hotels.com/VRBO sub-brands
booking holdings,bkng|booking.com|priceline|agoda|kayak|opentable,bookingholdings.com|booking.com|priceline.com|agoda.com,85,medium,travel,Distinctive OTA holding brand
hertz,htz|the hertz corporation|dollar|thrifty,hertz.com|dollar.com|thrifty.com,70,high,travel,Car rental franchise; high independent operator risk
avis,carg|avis budget group|budget|zipcar|payless,avis.com|budget.com|zipcar.com,70,high,travel,Car rental franchise; Budget sub-brand
enterprise,ehi|enterprise holdings|national car rental|alamo,enterprise.com|nationalcar.com|alamo.com,70,high,travel,Car rental franchise; many independent licensees globally
airbnb,abnb,airbnb.com,85,medium,travel,Distinctive platform brand; individual hosts create risk
